state,city,county,season_begin,season_end,lodging_2015,m_ie_rate
CO,Denver / Aurora,Denver / Adams / Arapahoe / Jefferson,,,$163 ,66 
CO,Douglas ,Douglas,,,$108 ,61 
CO,Durango,La Plata,1-Oct,31-May,$97 ,61 
CO,Durango,La Plata,1-Jun,30-Sep,$141 ,61 
CO,Fort Collins / Loveland,Larimer,,,$98 ,56 
CO,Montrose,Montrose,,,$87 ,56 
CO,Silverthorne / Breckenridge,Summit,1-Oct,30-Nov,$94 ,56 
CO,Silverthorne / Breckenridge,Summit,1-Dec,31-Mar,$138 ,56 
CO,Silverthorne / Breckenridge,Summit,1-Apr,31-May,$83 ,56 
CO,Silverthorne / Breckenridge,Summit,1-Jun,30-Sep,$94 ,56 
CO,Steamboat Springs,Routt,1-Oct,30-Nov,$99 ,56 
CO,Steamboat Springs,Routt,1-Dec,31-Mar,$172 ,56 
CO,Steamboat Springs,Routt,1-Apr,30-Sep,$99 ,56 
CO,Telluride,San Miguel,1-Oct,30-Nov,$127 ,71 
CO,Telluride,San Miguel,1-Dec,31-Mar,$334 ,71 
CO,Telluride,San Miguel,1-Apr,31-May,$136 ,71 
CO,Telluride,San Miguel,1-Jun,30-Sep,$174 ,71 
CO,Vail,Eagle,1-Oct,30-Nov,$116 ,71 
CO,Vail,Eagle,1-Dec,31-Mar,$312 ,71 
CO,Vail,Eagle,1-Apr,30-Jun,$126 ,71 
CO,Vail,Eagle,1-Jul,31-Aug,$151 ,71 
CO,Vail,Eagle,1-Sep,30-Sep,$116 ,71 
CT,Bridgeport / Danbury,Fairfield,,,$125 ,71 
CT,Cromwell / Old Saybrook,Middlesex,,,$93 ,61 
CT,Hartford,Hartford,,,$116 ,56 
CT,New Haven,New Haven,,,$94 ,61 
CT,New London / Groton,New London,,,$98 ,61 
DC,District of Columbia,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",1-Oct,31-Oct,$222 ,71 
DC,District of Columbia,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",1-Nov,28-Feb,$177 ,71 
DC,District of Columbia,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",1-Mar,30-Jun,$229 ,71 
DC,District of Columbia,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",1-Jul,31-Aug,$162 ,71 
DC,District of Columbia,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",1-Sep,30-Sep,$222 ,71 
DE,Dover,Kent,1-Oct,30-Apr,$83 ,46 
DE,Dover,Kent,1-May,30-Sep,$101 ,46 
DE,Lewes,Sussex,1-Oct,30-Jun,$88 ,46 
DE,Lewes,Sussex,1-Jul,31-Aug,$137 ,46 
DE,Lewes,Sussex,1-Sep,30-Sep,$88 ,46 
DE,Wilmington,New Castle,,,$120 ,56 
FL,Boca Raton / Delray Beach / Jupiter,Palm Beach / Hendry,1-Oct,31-Dec,$97 ,71 
FL,Boca Raton / Delray Beach / Jupiter,Palm Beach / Hendry,1-Jan,30-Apr,$157 ,71 
FL,Boca Raton / Delray Beach / Jupiter,Palm Beach / Hendry,1-May,30-Sep,$97 ,71 
FL,Bradenton,Manatee,1-Oct,31-Jan,$83 ,56 
FL,Bradenton,Manatee,1-Feb,31-Mar,$119 ,56 
FL,Bradenton,Manatee,1-Apr,30-Sep,$83 ,56 
FL,Cocoa Beach,Brevard,,,$105 ,51 
FL,Daytona Beach,Volusia,1-Oct,31-Jan,$83 ,51 
FL,Daytona Beach,Volusia,1-Feb,31-Mar,$110 ,51 
FL,Daytona Beach,Volusia,1-Apr,31-Jul,$90 ,51 
FL,Daytona Beach,Volusia,1-Aug,30-Sep,$83 ,51 
FL,Fort Lauderdale,Broward,1-Oct,31-Dec,$134 ,71 
FL,Fort Lauderdale,Broward,1-Jan,31-Mar,$188 ,71 
FL,Fort Lauderdale,Broward,1-Apr,31-May,$140 ,71 
FL,Fort Lauderdale,Broward,1-Jun,30-Sep,$109 ,71 
FL,Fort Myers,Lee,1-Oct,31-Dec,$93 ,56 
FL,Fort Myers,Lee,1-Jan,30-Apr,$142 ,56 
FL,Fort Myers,Lee,1-May,30-Sep,$93 ,56 
FL,Fort Walton Beach / De Funiak Springs,Okaloosa / Walton,1-Oct,31-Oct,$129 ,51 
FL,Fort Walton Beach / De Funiak Springs,Okaloosa / Walton,1-Nov,28-Feb,$86 ,51 
FL,Fort Walton Beach / De Funiak Springs,Okaloosa / Walton,1-Mar,31-May,$145 ,51 
FL,Fort Walton Beach / De Funiak Springs,Okaloosa / Walton,1-Jun,31-Jul,$196 ,51 
FL,Fort Walton Beach / De Funiak Springs,Okaloosa / Walton,1-Aug,30-Sep,$129 ,51 
FL,Gainesville,Alachua,,,$94 ,51 
FL,Gulf Breeze,Santa Rosa,1-Oct,31-May,$83 ,51 
FL,Gulf Breeze,Santa Rosa,1-Jun,31-Jul,$108 ,51 
FL,Gulf Breeze,Santa Rosa,1-Aug,30-Sep,$83 ,51 
FL,Key West,Monroe,1-Oct,30-Nov,$183 ,71 
FL,Key West,Monroe,1-Dec,31-Jan,$230 ,71 
FL,Key West,Monroe,1-Feb,31-Mar,$279 ,71 
FL,Key West,Monroe,1-Apr,30-Sep,$183 ,71 
FL,Miami,Miami-Dade,1-Oct,31-Dec,$152 ,66 
FL,Miami,Miami-Dade,1-Jan,31-Mar,$203 ,66 
FL,Miami,Miami-Dade,1-Apr,31-May,$146 ,66 
FL,Miami,Miami-Dade,1-Jun,30-Sep,$119 ,66 
FL,Naples,Collier,1-Oct,31-Dec,$136 ,61 
FL,Naples,Collier,1-Jan,30-Apr,$203 ,61 
FL,Naples,Collier,1-May,30-Sep,$116 ,61 
FL,Orlando,Orange,,,$115 ,56 
FL,Panama City,Bay,1-Oct,28-Feb,$83 ,51 
FL,Panama City,Bay,1-Mar,31-Jul,$119 ,51 
FL,Panama City,Bay,1-Aug,30-Sep,$83 ,51 
FL,Pensacola ,Escambia,1-Oct,28-Feb,$94 ,46 
FL,Pensacola ,Escambia,1-Mar,31-Aug,$121 ,46 
FL,Pensacola ,Escambia,1-Sep,30-Sep,$94 ,46 
FL,Punta Gorda,Charlotte,1-Oct,31-Jan,$83 ,51 
FL,Punta Gorda,Charlotte,1-Feb,31-Mar,$123 ,51 
FL,Punta Gorda,Charlotte,1-Apr,30-Sep,$83 ,51 
FL,Sarasota,Sarasota,1-Oct,31-Dec,$92 ,56 
FL,Sarasota,Sarasota,1-Jan,30-Apr,$126 ,56 
FL,Sarasota,Sarasota,1-May,30-Sep,$92 ,56 
FL,Sebring,Highlands,,,$99 ,46 
FL,St. Augustine,St. Johns,,,$107 ,56 
FL,Stuart,Martin,,,$91 ,51 
FL,Tallahassee,Leon,1-Oct,31-Dec,$88 ,46 
FL,Tallahassee,Leon,1-Jan,30-Apr,$104 ,46 
FL,Tallahassee,Leon,1-May,30-Sep,$88 ,46 
FL,Tampa / St. Petersburg,Pinellas / Hillsborough,1-Oct,31-Dec,$104 ,51 
FL,Tampa / St. Petersburg,Pinellas / Hillsborough,1-Jan,28-Feb,$115 ,51 
FL,Tampa / St. Petersburg,Pinellas / Hillsborough,1-Mar,30-Sep,$104 ,51 
FL,Vero Beach,Indian River,1-Oct,31-Jan,$109 ,51 
FL,Vero Beach,Indian River,1-Feb,30-Apr,$155 ,51 
FL,Vero Beach,Indian River,1-May,30-Sep,$109 ,51 
GA,Athens,Clarke,,,$91 ,46 
GA,Atlanta,Fulton / Dekalb / Cobb,,,$135 ,56 
