state,city,county,season_begin,season_end,lodging_2015,m_ie_rate
NJ,Atlantic City / Ocean City / Cape May,Atlantic / Cape May,,,$94 ,66 
NJ,Belle Mead,Somerset,,,$135 ,56 
NJ,Cherry Hill / Moorestown,Camden / Burlington,,,$97 ,61 
NJ,Eatontown / Freehold,Monmouth,,,$103 ,56 
NJ,Edison / Piscataway,Middlesex ,,,$109 ,51 
NJ,Flemington,Hunterdon,,,$114 ,61 
NJ,Newark,Essex / Bergen / Hudson / Passaic,,,$134 ,61 
NJ,Parsippany,Morris,,,$136 ,56 
NJ,Princeton / Trenton,Mercer,,,$127 ,61 
NJ,Springfield / Cranford / New Providence,Union,,,$115 ,56 
NJ,Toms River,Ocean,1-Oct,31-May,$83 ,51 
NJ,Toms River,Ocean,1-Jun,31-Aug,$93 ,51 
NJ,Toms River,Ocean,1-Sep,30-Sep,$83 ,51 
NM,Carlsbad,Eddy,1-Oct,31-Mar,$127 ,51 
NM,Carlsbad,Eddy,1-Apr,30-Jun,$120 ,51 
NM,Carlsbad,Eddy,1-Jul,30-Sep,$127 ,51 
NM,Las Cruces,Dona Ana,,,$91 ,56 
NM,Los Alamos,Los Alamos ,,,$86 ,51 
NM,Santa Fe,Santa Fe,,,$94 ,71 
NM,Taos,Taos,,,$92 ,66 
NV,Incline Village / Reno / Sparks,Washoe,1-Oct,30-Jun,$95 ,51 
NV,Incline Village / Reno / Sparks,Washoe,1-Jul,31-Aug,$130 ,51 
NV,Incline Village / Reno / Sparks,Washoe,1-Sep,30-Sep,$95 ,51 
NV,Las Vegas,Clark,,,$96 ,71 
NV,Stateline / Carson City,Douglas / Carson City,,,$87 ,61 
NY,Albany,Albany,,,$111 ,61 
NY,Binghamton / Owego,Broome / Tioga,,,$97 ,46 
NY,Buffalo,Erie,,,$108 ,56 
NY,Floral Park / Garden City / Great Neck,Nassau,,,$149 ,66 
NY,Glens Falls,Warren,1-Oct,30-Jun,$101 ,66 
NY,Glens Falls,Warren,1-Jul,31-Aug,$159 ,66 
NY,Glens Falls,Warren,1-Sep,30-Sep,$101 ,66 
NY,Ithaca / Waterloo / Romulus,Tompkins / Seneca,,,$115 ,46 
NY,Kingston,Ulster,,,$112 ,66 
NY,Lake Placid,Essex,1-Oct,30-Nov,$117 ,61 
NY,Lake Placid,Essex,1-Dec,28-Feb,$129 ,61 
NY,Lake Placid,Essex,1-Mar,30-Jun,$105 ,61 
NY,Lake Placid,Essex,1-Jul,31-Aug,$166 ,61 
NY,Lake Placid,Essex,1-Sep,30-Sep,$117 ,61 
NY,New York City,Bronx / Kings / New York / Queens / Richmond,1-Oct,31-Dec,$304 ,71 
NY,New York City,Bronx / Kings / New York / Queens / Richmond,1-Jan,28-Feb,$197 ,71 
NY,New York City,Bronx / Kings / New York / Queens / Richmond,1-Mar,30-Jun,$268 ,71 
NY,New York City,Bronx / Kings / New York / Queens / Richmond,1-Jul,31-Aug,$235 ,71 
NY,New York City,Bronx / Kings / New York / Queens / Richmond,1-Sep,30-Sep,$304 ,71 
NY,Niagara Falls,Niagara,1-Oct,30-Jun,$83 ,51 
NY,Niagara Falls,Niagara,1-Jul,31-Aug,$108 ,51 
NY,Niagara Falls,Niagara,1-Sep,30-Sep,$83 ,51 
NY,Nyack / Palisades,Rockland,,,$110 ,61 
NY,Poughkeepsie,Dutchess,,,$105 ,66 
NY,Riverhead / Ronkonkoma / Melville,Suffolk,,,$121 ,71 
NY,Rochester,Monroe,,,$105 ,51 
NY,Saratoga Springs / Schenectady,Saratoga / Schenectady,1-Oct,30-Jun,$116 ,56 
NY,Saratoga Springs / Schenectady,Saratoga / Schenectady,1-Jul,31-Aug,$178 ,56 
NY,Saratoga Springs / Schenectady,Saratoga / Schenectady,1-Sep,30-Sep,$116 ,56 
NY,Syracuse / Oswego,Onondaga / Oswego,,,$96 ,56 
NY,Tarrytown / White Plains / New Rochelle,Westchester,,,$145 ,71 
NY,Troy ,Rensselaer,,,$102 ,51 
NY,Watertown,Jefferson,,,$96 ,56 
NY,West Point,Orange,,,$106 ,51 
OH,Akron,Summit,,,$104 ,51 
OH,Canton,Stark,,,$109 ,51 
OH,Cincinnati,Hamilton / Clermont,,,$132 ,56 
OH,Cleveland,Cuyahoga,,,$119 ,56 
OH,Columbus,Franklin,,,$106 ,56 
OH,Dayton / Fairborn,Greene / Darke / Montgomery,,,$89 ,56 
OH,Hamilton,Butler / Warren,,,$98 ,51 
OH,Medina / Wooster,Wayne / Medina,,,$95 ,51 
OH,Mentor,Lake,,,$94 ,46 
OH,Sandusky / Bellevue,Erie /  Huron,,,$94 ,46 
OH,Youngstown,Mahoning / Trumbull,,,$95 ,51 
OK,Enid,Garfield,,,$109 ,56 
OK,Oklahoma City,Oklahoma,,,$94 ,66 
OR,Beaverton,Washington,,,$114 ,51 
OR,Bend,Deschutes,1-Oct,30-Jun,$104 ,61 
OR,Bend,Deschutes,1-Jul,31-Aug,$144 ,61 
OR,Bend,Deschutes,1-Sep,30-Sep,$104 ,61 
OR,Clackamas,Clackamas,,,$97 ,61 
OR,Eugene / Florence,Lane,,,$99 ,51 
OR,Lincoln City,Lincoln,1-Oct,30-Jun,$95 ,56 
OR,Lincoln City,Lincoln,1-Jul,31-Aug,$123 ,56 
OR,Lincoln City,Lincoln,1-Sep,30-Sep,$95 ,56 
OR,Portland,Multnomah,,,$137 ,66 
OR,Seaside,Clatsop,1-Oct,30-Jun,$100 ,51 
OR,Seaside,Clatsop,1-Jul,31-Aug,$148 ,51 
OR,Seaside,Clatsop,1-Sep,30-Sep,$100 ,51 
PA,Allentown / Easton / Bethlehem,Lehigh / Northampton,,,$88 ,51 
PA,Bucks,Bucks,,,$99 ,71 
PA,Chester / Radnor / Essington,Delaware,,,$95 ,51 
PA,Erie,Erie,,,$91 ,46 
PA,Gettysburg,Adams,1-Oct,31-Oct,$105 ,51 
PA,Gettysburg,Adams,1-Nov,31-Mar,$83 ,51 
PA,Gettysburg,Adams,1-Apr,30-Sep,$105 ,51 
PA,Harrisburg,Dauphin County excluding Hershey,,,$108 ,51 
PA,Hershey,Hershey,1-Oct,31-May,$103 ,51 
PA,Hershey,Hershey,1-Jun,31-Aug,$154 ,51 
PA,Hershey,Hershey,1-Sep,30-Sep,$103 ,51 
PA,Lancaster,Lancaster,,,$100 ,56 
PA,Malvern / Frazer / Berwyn,Chester,,,$122 ,51 
PA,Mechanicsburg,Cumberland,,,$91 ,56 
PA,Montgomery,Montgomery,,,$125 ,66 
PA,Philadelphia,Philadelphia,1-Oct,30-Nov,$166 ,66 
PA,Philadelphia,Philadelphia,1-Dec,28-Feb,$139 ,66 
PA,Philadelphia,Philadelphia,1-Mar,30-Jun,$171 ,66 
PA,Philadelphia,Philadelphia,1-Jul,31-Aug,$142 ,66 
PA,Philadelphia,Philadelphia,1-Sep,30-Sep,$166 ,66 
PA,Pittsburgh,Allegheny,,,$128 ,71 
PA,Reading,Berks,,,$94 ,56 
PA,Scranton,Lackawanna,,,$89 ,56 
PA,State College ,Centre,,,$87 ,56 
RI,East Greenwich / Warwick / North Kingstown,Kent / Washington,,,$91 ,56 
RI,Jamestown / Middletown / Newport,Newport ,1-Oct,31-Oct,$165 ,71 
RI,Jamestown / Middletown / Newport,Newport ,1-Nov,30-Apr,$96 ,71 
RI,Jamestown / Middletown / Newport,Newport ,1-May,30-Sep,$165 ,71 
RI,Providence / Bristol,Providence / Bristol,,,$131 ,71 
SC,Aiken,Aiken,,,$88 ,46 
SC,Charleston,Charleston / Berkeley / Dorchester,1-Oct,31-Oct,$157 ,56 
SC,Charleston,Charleston / Berkeley / Dorchester,1-Nov,28-Feb,$142 ,56 
SC,Charleston,Charleston / Berkeley / Dorchester,1-Mar,31-May,$186 ,56 
SC,Charleston,Charleston / Berkeley / Dorchester,1-Jun,30-Sep,$157 ,56 
SC,Columbia,Richland / Lexington,,,$94 ,51 
SC,Hilton Head,Beaufort,1-Oct,31-Mar,$104 ,61 
SC,Hilton Head,Beaufort,1-Apr,31-Jul,$133 ,61 
SC,Hilton Head,Beaufort,1-Aug,30-Sep,$104 ,61 
SC,Myrtle Beach,Horry,1-Oct,31-Mar,$83 ,51 
SC,Myrtle Beach,Horry,1-Apr,31-May,$101 ,51 
SC,Myrtle Beach,Horry,1-Jun,31-Aug,$143 ,51 
SC,Myrtle Beach,Horry,1-Sep,30-Sep,$83 ,51 
SD,Hot Springs,Fall River / Custer,1-Oct,31-Oct,$89 ,46 
SD,Hot Springs,Fall River / Custer,1-Nov,31-May,$83 ,46 
SD,Hot Springs,Fall River / Custer,1-Jun,31-Aug,$128 ,46 
SD,Hot Springs,Fall River / Custer,1-Sep,30-Sep,$89 ,46 
SD,Rapid City,Pennington,1-Oct,31-May,$83 ,51 
SD,Rapid City,Pennington,1-Jun,31-Aug,$133 ,51 
SD,Rapid City,Pennington,1-Sep,30-Sep,$83 ,51 
SD,Sturgis / Spearfish ,Meade / Butte / Lawrence,1-Oct,31-May,$83 ,51 
SD,Sturgis / Spearfish ,Meade / Butte / Lawrence,1-Jun,31-Aug,$113 ,51 
SD,Sturgis / Spearfish ,Meade / Butte / Lawrence,1-Sep,30-Sep,$83 ,51 
TN,Brentwood / Franklin,Williamson,,,$107 ,56 
TN,Chattanooga ,Hamilton,,,$94 ,56 
TN,Knoxville,Knox,,,$88 ,56 
TN,Memphis,Shelby,,,$102 ,61 
TN,Nashville,Davidson,1-Oct,30-Jun,$132 ,66 
TN,Nashville,Davidson,1-Jul,31-Aug,$123 ,66 
TN,Nashville,Davidson,1-Sep,30-Sep,$132 ,66 
TN,Oak Ridge,Anderson,,,$84 ,46 
TX,Arlington / Fort Worth / Grapevine,Tarrant County / City of Grapevine,,,$144 ,56 
TX,Austin,Travis,1-Oct,30-Nov,$126 ,71 
TX,Austin,Travis,1-Dec,31-Mar,$139 ,71 
TX,Austin,Travis,1-Apr,30-Sep,$126 ,71 
TX,Big Spring,Howard,,,$148 ,46 
TX,College Station,Brazos,,,$102 ,56 
TX,Corpus Christi,Nueces,,,$103 ,51 
TX,Dallas,Dallas ,1-Oct,31-Dec,$125 ,71 
TX,Dallas,Dallas ,1-Jan,31-Mar,$135 ,71 
TX,Dallas,Dallas ,1-Apr,30-Sep,$125 ,71 
TX,El Paso,El Paso,,,$92 ,51 
TX,Galveston,Galveston,1-Oct,31-May,$95 ,56 
TX,Galveston,Galveston,1-Jun,31-Aug,$124 ,56 
TX,Galveston,Galveston,1-Sep,30-Sep,$95 ,56 
TX,Greenville,Hunt County,,,$84 ,51 
TX,Houston (L.B. Johnson Space Center),Montgomery / Fort Bend / Harris,1-Oct,31-May,$132 ,71 
TX,Houston (L.B. Johnson Space Center),Montgomery / Fort Bend / Harris,1-Jun,30-Sep,$121 ,71 
TX,Laredo,Webb,,,$98 ,56 
TX,McAllen,Hidalgo,,,$88 ,56 
TX,Midland,Midland,1-Oct,31-Mar,$162 ,56 
TX,Midland,Midland,1-Apr,31-May,$172 ,56 
TX,Midland,Midland,1-Jun,30-Sep,$162 ,56 
TX,Pearsall,Frio / Medina / La Salle,,,$137 ,46 
TX,Plano,Collin,,,$108 ,61 
TX,Round Rock ,Williamson,,,$93 ,51 
TX,San Angelo,Tom Green,1-Oct,31-Mar,$147 ,51 
TX,San Angelo,Tom Green,1-Apr,31-May,$126 ,51 
TX,San Angelo,Tom Green,1-Jun,30-Sep,$147 ,51 
TX,San Antonio,Bexar,,,$115 ,66 
TX,South Padre Island,Cameron,1-Oct,31-May,$88 ,56 
TX,South Padre Island,Cameron,1-Jun,31-Jul,$112 ,56 
TX,South Padre Island,Cameron,1-Aug,30-Sep,$88 ,56 
TX,Waco,McLennan,,,$89 ,51 
UT,Moab,Grand,1-Oct,31-Oct,$130 ,56 
UT,Moab,Grand,1-Nov,28-Feb,$83 ,56 
UT,Moab,Grand,1-Mar,30-Sep,$130 ,56 
UT,Park City,Summit,1-Oct,30-Nov,$115 ,71 
UT,Park City,Summit,1-Dec,31-Mar,$246 ,71 
UT,Park City,Summit,1-Apr,30-Sep,$115 ,71 
UT,Provo,Utah,,,$87 ,51 
UT,Salt Lake City,Salt Lake / Tooele,1-Oct,31-Dec,$106 ,61 
UT,Salt Lake City,Salt Lake / Tooele,1-Jan,31-Mar,$117 ,61 
UT,Salt Lake City,Salt Lake / Tooele,1-Apr,30-Sep,$106 ,61 
VA,Abingdon,Washington,,,$96 ,46 
VA,Blacksburg,Montgomery,,,$96 ,46 
VA,Charlottesville,City of Charlottesville / Albemarle / Greene,,,$125 ,56 
VA,Fredericksburg,City of Fredericksburg / Spotsylvania / Stafford / Caroline,,,$84 ,56 
VA,Loudoun,Loudoun,,,$96 ,61 
VA,Lynchburg,Campbell / Lynchburg City,,,$90 ,51 
VA,Norfolk / Portsmouth,Cities of Norfolk / Portsmouth,,,$87 ,61 
VA,Prince William / Manassas,Prince William / City of Manassas,,,$85 ,56 
VA,Richmond,City of Richmond,,,$113 ,66 
VA,Roanoke,City limits of Roanoke,,,$102 ,51 
VA,Virginia Beach,City of Virginia Beach,1-Oct,31-May,$94 ,56 
VA,Virginia Beach,City of Virginia Beach,1-Jun,31-Aug,$172 ,56 
VA,Virginia Beach,City of Virginia Beach,1-Sep,30-Sep,$94 ,56 
VA,Wallops Island,Accomack,1-Oct,30-Jun,$92 ,56 
VA,Wallops Island,Accomack,1-Jul,31-Aug,$147 ,56 
VA,Wallops Island,Accomack,1-Sep,30-Sep,$92 ,56 
VA,Warrenton ,Fauquier,,,$108 ,46 
VA,Williamsburg / York,James City / York Counties / City of Williamsburg,1-Oct,31-Mar,$83 ,51 
VA,Williamsburg / York,James City / York Counties / City of Williamsburg,1-Apr,31-Aug,$96 ,51 
VA,Williamsburg / York,James City / York Counties / City of Williamsburg,1-Sep,30-Sep,$83 ,51 
VT,Burlington / St. Albans / Middlebury,Chittenden / Franklin / Addison,1-Oct,31-Oct,$125 ,66 
VT,Burlington / St. Albans / Middlebury,Chittenden / Franklin / Addison,1-Nov,30-Apr,$104 ,66 
VT,Burlington / St. Albans / Middlebury,Chittenden / Franklin / Addison,1-May,30-Sep,$125 ,66 
VT,Manchester,Bennington,1-Oct,31-Oct,$107 ,71 
VT,Manchester,Bennington,1-Nov,30-Jun,$90 ,71 
VT,Manchester,Bennington,1-Jul,30-Sep,$107 ,71 
VT,Montpelier,Washington,,,$110 ,61 
VT,Stowe ,Lamoille,,,$125 ,71 
VT,White River Junction,Windsor,,,$97 ,56 
WA,Anacortes / Coupeville / Oak Harbor,Skagit / Island / San Juan ,,,$85 ,61 
WA,Everett / Lynnwood,Snohomish,,,$107 ,61 
WA,Ocean Shores,Grays Harbor,1-Oct,30-Jun,$83 ,51 
WA,Ocean Shores,Grays Harbor,1-Jul,31-Aug,$104 ,51 
WA,Ocean Shores,Grays Harbor,1-Sep,30-Sep,$83 ,51 
WA,Olympia / Tumwater,Thurston,,,$98 ,61 
WA,Port Angeles / Port Townsend,Clallam / Jefferson,1-Oct,30-Jun,$95 ,61 
WA,Port Angeles / Port Townsend,Clallam / Jefferson,1-Jul,31-Aug,$128 ,61 
WA,Port Angeles / Port Townsend,Clallam / Jefferson,1-Sep,30-Sep,$95 ,61 
WA,Richland / Pasco,Benton / Franklin,,,$92 ,46 
WA,Seattle,King,1-Oct,31-May,$156 ,71 
WA,Seattle,King,1-Jun,31-Aug,$190 ,71 
WA,Seattle,King,1-Sep,30-Sep,$156 ,71 
WA,Spokane,Spokane,,,$88 ,61 
WA,Tacoma,Pierce,,,$109 ,61 
WA,Vancouver,Clark / Cowlitz / Skamania,,,$137 ,56 
WI,Appleton,Outagamie,,,$88 ,46 
WI,Brookfield / Racine,Waukesha / Racine,,,$95 ,56 
WI,Madison,Dane,1-Oct,31-Oct,$116 ,56 
WI,Madison,Dane,1-Nov,31-Aug,$97 ,56 
WI,Madison,Dane,1-Sep,30-Sep,$116 ,56 
WI,Milwaukee,Milwaukee,,,$107 ,61 
WI,Sheboygan,Sheboygan ,1-Oct,31-May,$83 ,51 
WI,Sheboygan,Sheboygan ,1-Jun,31-Aug,$93 ,51 
WI,Sheboygan,Sheboygan ,1-Sep,30-Sep,$83 ,51 
WI,Sturgeon Bay,Door,1-Oct,30-Jun,$83 ,56 
WI,Sturgeon Bay,Door,1-Jul,31-Aug,$90 ,56 
WI,Sturgeon Bay,Door,1-Sep,30-Sep,$83 ,56 
WI,Wisconsin Dells,Columbia,1-Oct,31-May,$91 ,61 
WI,Wisconsin Dells,Columbia,1-Jun,31-Aug,$110 ,61 
WI,Wisconsin Dells,Columbia,1-Sep,30-Sep,$91 ,61 
WV,Charleston,Kanawha,,,$105 ,51 
WV,Morgantown,Monongalia,,,$98 ,46 
WV,Shepherdstown,Jefferson,,,$86 ,56 
WV,Wheeling,Ohio,,,$106 ,46 
WY,Cody,Park,1-Oct,30-Nov,$93 ,51 
WY,Cody,Park,1-Dec,31-Mar,$86 ,51 
WY,Cody,Park,1-Apr,31-May,$96 ,51 
WY,Cody,Park,1-Jun,30-Sep,$130 ,51 
WY,Evanston / Rock Springs,Sweetwater / Uinta,,,$91 ,51 
WY,Gillette,Campbell,,,$85 ,51 
WY,Jackson / Pinedale,Teton / Sublette,1-Oct,30-Jun,$117 ,56 
WY,Jackson / Pinedale,Teton / Sublette,1-Jul,31-Aug,$179 ,56 
WY,Jackson / Pinedale,Teton / Sublette,1-Sep,30-Sep,$117 ,56 
